status,title,authors,year,venue,doi,url,tags,abstract,provider,decision_source,llm_confidence,llm_review_outcome,llm_change_direction
pending,Systematic methodological review: developing a framework for a qualitative semi‐structured interview guide,Hanna Kallio; Anna‐Maija Pietilä; Martin Johnson; Mari Kangasniemi,2016,Journal of Advanced Nursing,10.1111/jan.13031,https://openalex.org/W2396339611,,"AIM: To produce a framework for the development of a qualitative semi-structured interview guide. BACKGROUND: Rigorous data collection procedures fundamentally influence the results of studies. The semi-structured interview is a common data collection method, but methodological research on the development of a semi-structured interview guide is sparse. DESIGN: Systematic methodological review. DATA SOURCES: We searched PubMed, CINAHL, Scopus and Web of Science for methodological papers on semi-structured interview guides from October 2004-September 2014. Having examined 2,703 titles and abstracts and 21 full texts, we finally selected 10 papers. REVIEW METHODS: We analysed the data using the qualitative content analysis method. RESULTS: Our analysis resulted in new synthesized knowledge on the development of a semi-structured interview guide, including five phases: (1) identifying the prerequisites for using semi-structured interviews; (2) retrieving and using previous knowledge; (3) formulating the preliminary semi-structured interview guide; (4) pilot testing the guide; and (5) presenting the complete semi-structured interview guide. CONCLUSION: Rigorous development of a qualitative semi-structured interview guide contributes to the objectivity and trustworthiness of studies and makes the results more plausible. Researchers should consider using this five-step process to develop a semi-structured interview guide and justify the decisions made during it.","openalex, dblp",human,,human,
pending,Computational psychiatry,P. Read Montague; Raymond J. Dolan; Karl Friston; Peter Dayan,2011,Trends in Cognitive Sciences,10.1016/j.tics.2011.11.018,https://openalex.org/W4245880239,,,"openalex, dblp",human,,human,
pending,"Animals in a bacterial world, a new imperative for the life sciences",Margaret McFall‐Ngai; Michael G.‏ Hadfield; Thomas C. G. Bosch; Hannah V. Carey; Tomislav Domazet‐Lošo; Angela E. Douglas; Nicole Dubilier; Gérard Eberl; Tadashi Fukami; Scott F. Gilbert; Ute Hentschel; Nicole King; Staffan Kjelleberg; Andrew H. Knoll; Natacha Kremer; Sarkis K. Mazmanian; Jessica L. Metcalf; Kenneth H. Nealson; Naomi E. Pierce; John F. Rawls; Ann Reid; Edward G. Ruby; Mary E. Rumpho; Jon G. Sanders; Diethard Tautz; Jennifer J. Wernegreen,2013,Proceedings of the National Academy of Sciences,10.1073/pnas.1218525110,https://openalex.org/W1964306176,,"In the last two decades, the widespread application of genetic and genomic approaches has revealed a bacterial world astonishing in its ubiquity and diversity. This review examines how a growing knowledge of the vast range of animal-bacterial interactions, whether in shared ecosystems or intimate symbioses, is fundamentally altering our understanding of animal biology. Specifically, we highlight recent technological and intellectual advances that have changed our thinking about five questions: how have bacteria facilitated the origin and evolution of animals; how do animals and bacteria affect each other's genomes; how does normal animal development depend on bacterial partners; how is homeostasis maintained between animals and their symbionts; and how can ecological approaches deepen our understanding of the multiple levels of animal-bacterial interaction. As answers to these fundamental questions emerge, all biologists will be challenged to broaden their appreciation of these interactions and to include investigations of the relationships between and among bacteria and their animal partners as we seek a better understanding of the natural world.","openalex, dblp",human,,human,
pending,A conceptual framework for integrated STEM education,Todd R. Kelley; J. Geoff Knowles,2016,International Journal of STEM Education,10.1186/s40594-016-0046-z,https://openalex.org/W2475426101,,"The global urgency to improve STEM education may be driven by environmental and social impacts of the twenty-first century which in turn jeopardizes global security and economic stability. The complexity of these global factors reach beyond just helping students achieve high scores in math and science assessments. Friedman (The world is flat: A brief history of the twenty-first century, 2005) helped illustrate the complexity of a global society, and educators must help students prepare for this global shift. In response to these challenges, the USA experienced massive STEM educational reforms in the last two decades. In practice, STEM educators lack cohesive understanding of STEM education. Therefore, they could benefit from a STEM education conceptual framework. The process of integrating science, technology, engineering, and mathematics in authentic contexts can be as complex as the global challenges that demand a new generation of STEM experts. Educational researchers indicate that teachers struggle to make connections across the STEM disciplines. Consequently, students are often disinterested in science and math when they learn in an isolated and disjoined manner missing connections to crosscutting concepts and real-world applications. The following paper will operationalize STEM education key concepts and blend learning theories to build an integrated STEM education framework to assist in further researching integrated STEM education.","openalex, dblp",human,,human,
pending,Towards the sustainable discovery and development of new antibiotics,Marcus Miethke; Marco Pieroni; Tilmann Weber; Mark Brönstrup; Peter Hammann; Ludovic Halby; Paola B. Arimondo; Philippe Glaser; Bertrand Aigle; Helge B. Bode; Rui Moreira; Yanyan Li; Andriy Luzhetskyy; Marnix H. Medema; Jean‐Luc Pernodet; Marc Stadler; José R. Tormo; Olga Genilloud; Andrew W. Truman; Kira J. Weissman; Eriko Takano; Stefano Sabatini; Evi Stegmann; Heike Brötz‐Oesterhelt; Wolfgang Wohlleben; Myriam Seemann; Martin Empting; Anna K. H. Hirsch; Brigitta Loretz; Claus‐Michael Lehr; Alexander Titz; Jennifer Herrmann; Timo Jaeger; Silke Alt; Thomas Hesterkamp; Mathias Winterhalter; Andrea Schiefer; Kenneth Pfarr; Achim Hoerauf; Heather Graz; Michael Graz; Mika Lindvall; Savithri Ramurthy; Anders Karlén; Maarten van Dongen; Hrvoje Petković; Andreas Keller; Frédéric Peyrane; Stefano Donadio; Laurent Fraisse; Laura J. V. Piddock; Ian H. Gilbert; Heinz E. Moser; Rolf Müller,2021,Nature Reviews Chemistry,10.1038/s41570-021-00313-1,https://openalex.org/W3194188670,,,"openalex, dblp",human,,human,
pending,Decentralization of Governance and Development,Pranab Bardhan,2002,The Journal of Economic Perspectives,10.1257/089533002320951037,https://openalex.org/W2143775898,,"In this paper we note that the institutional context (and therefore the structure of incentives and organization) in developing and transition economies is quite different from those in advanced industrial economies, and this necessitates the literature on decentralization in the context of development to go beyond the traditional fiscal federalism literature. We review some of the existing theoretical work and empirical case studies of decentralization from the point of view of delivery of public services and of conditions for local business development, and point to ways of going forward in research.","openalex, dblp",human,,human,
pending,"Consensus development methods, and their use in clinical guideline development.",Murphy Murphy; Black; Lamping; Martin McKee; Sanderson; Askham; Marteau,1998,Health Technology Assessment,10.3310/hta2030,https://openalex.org/W3139553455,,"T he overall aim of the NHS R&D Health Technology Assessment (HTA) programme is to ensure that high-quality research information on the costs, effectiveness and broader impact of health technologies is produced in the most efficient way for those who use, manage","openalex, dblp",human,,human,
pending,Computational thinking in compulsory education: Towards an agenda for research and practice,Joke Voogt; Petra Fisser; Jon Good; Punya Mishra; Aman Yadav,2015,Education and Information Technologies,10.1007/s10639-015-9412-6,https://openalex.org/W570009404,,"Computational Thinking is considered a universal competence, which should be added to every child’s analytical ability as a vital ingredient of their school learning. In this article we further elaborate on what Computational Thinking is and present examples of what needs to be taught and how. First we position Computational Thinking in Papert’s work with LOGO. We then discuss challenges in defining Computational Thinking and discuss the core and peripheral aspects of a definition. After that we offer examples of how Computational Thinking can be addressed in both formal and informal educational settings. In the conclusion and discussion section an agenda for research and practice is presented.","openalex, dblp",human,,human,
pending,Computational Thinking: The Developing Definition,Cynthia Selby,2013,ePrints Soton (University of Southampton),,https://openalex.org/W1537860447,,"Since Jeanette Wing’s use of the term computational thinking in 2006, various discussions have arisen seeking a robust definition of the phrase. With no consensus having been found in the intervening years, there are even suggestions that a definition is not important. Perhaps focus should be on how computational thinking is taught and how its acquisition might be observed. However, in order to facilitate consistent curriculum design and appropriate assessment, it is argued that a definition should still be sought. &lt;br/&gt;&lt;br/&gt;In order to contribute to the discussions surrounding a definition of computational thinking, this review of literature spans the years since 2006. The most frequently occurring terms, descriptions, and meanings are identified. Consideration is given to the motivation for inclusion or exclusion of a term by each individual author. Where possible, if a description has been given, an associated term is supplied.&lt;br/&gt;&lt;br/&gt;Criteria are developed for the objectives of a computational thinking definition, in accordance with the needs identified in the literature. Using the criteria as a guide and the collected terms as the vocabulary, a definition of computational thinking is proposed. &lt;br/&gt;","openalex, dblp",human,,human,
pending,Computational thinking for teacher education,Aman Yadav; Chris Stephenson; Hai Hong,2017,Communications of the ACM,10.1145/2994591,https://openalex.org/W2599518471,,This framework for developing pre-service teachers' knowledge does not necessarily depend on computers or other educational technology.,"openalex, dblp",human,,human,
pending,A K-6 computational thinking curriculum framework: implications for teacher knowledge,Charoula Angeli; Joke Voogt; A Fluck; Mary Webb; Margaret Cox; Joyce Malyn‐Smith; Jason Zagami,2016,eCite Digital Repository (University of Tasmania),,https://openalex.org/W2531461299,,"Adding computer science as a separate school subject to the core K-6 curriculum is a complex issue with educational challenges. The authors herein address two of these challenges: (1) the design of the curriculum based on a generic computational thinking framework, and (2) the knowledge teachers need to teach the curriculum. The first issue is discussed within a perspective of designing an authentic computational thinking curriculum with a focus on real-world problems. The second issue is addressed within the framework of technological pedagogical content knowledge explicating in detail the body of knowledge that teachers need to have to be able to teach computational thinking in a K-6 environment. An example of how these ideas can be applied in practice is also given. While it is recognized there is a lack of adequate empirical evidence in terms of the effectiveness of the frameworks proposed herein, it is expected that our knowledge and research base will dramatically increase over the next several years, as more countries around the world add computer science as a separate school subject to their K-6 curriculum.","openalex, dblp",human,,human,
pending,Exploring Issues About Computational Thinking in Higher Education,Betül Czerkawski; Eugene W. Lyman,2015,TechTrends,10.1007/s11528-015-0840-3,https://openalex.org/W1992394443,,,"openalex, dblp",human,,human,
pending,Computational thinking - a guide for teachers,Andrew Csizmadia; Paul Curzon; Mark Dorling; Simon Humphreys; Thomas W. H. Ng; Cynthia Selby; John Woollard,2015,ePrints Soton (University of Southampton),,https://openalex.org/W2946212624,,"This guide seeks to help develop a shared understanding of the teaching of computational thinking in schools. It presents a conceptual framework of computational thinking, describes pedagogic approaches for teaching and offers guides for assessment. It is complementary to the two CAS guides published in November 2013 (Primary) and June 2014 (Secondary) in supporting the implementation of the new National Curriculum and embraces the CAS Barefoot and CAS QuickStart Computing descriptions of computational thinking. Computational thinking lies at the heart of the computing curriculum but it also supports learning and thinking in other areas of the curriculum.","openalex, dblp",human,,human,
pending,Infusing computational thinking into the middle- and high-school curriculum,Amber Settle; Baker Franke; Ruth Hansen; Frances Spaltro; Cynthia Jurisson; Colin Rennert-May; Brian Wildeman,2012,,10.1145/2325296.2325306,https://openalex.org/W2066243259,,"In recent years there have been significant efforts to revamp undergraduate and K-12 curricula to emphasize computational thinking, a term popularized by Jeannette Wing in 2006. We describe work introducing and enhancing computational thinking activities and assessments in the middle- and high-school curriculum at the University of Chicago Lab Schools. In total six courses were altered as a part of the Computational Thinking across the Curriculum Project: middle-school and high-school computer science, and high-school Latin, graphic arts, English, and history. We detail the modifications to the curriculum and discuss the successes and challenges of the project.","openalex, dblp",human,,human,
pending,Computational Thinking for All: Pedagogical Approaches to Embedding 21st Century Problem Solving in K-12 Classrooms,Aman Yadav; Hai Hong; Chris Stephenson,2016,TechTrends,10.1007/s11528-016-0087-7,https://openalex.org/W2413080797,,"The recent focus on computational thinking as a key 21st century skill for all students has led to a number of curriculum initiatives to embed it in K-12 classrooms. In this paper, we discuss the key computational thinking constructs, including algorithms, abstraction, and automation. We further discuss how these ideas are related to current educational reforms, such as Common Core and Next Generation Science Standards and provide specific means that would allow teachers to embed these ideas in their K-12 classrooms, including recommendations for instructional technologists and professional development experts for infusing computational thinking into other subjects. In conclusion, we suggest that computational thinking ideas outlined in this paper are key to moving students from merely being technology-literate to using computational tools to solve problems.","openalex, dblp",human,,human,
pending,Computational thinking and thinking about computing.,Jeannette M. Wing,2008,IPDPS,10.1109/IPDPS.2008.4536091,https://dblp.org/rec/conf/ipps/Wing08,,,"openalex, dblp",human,,human,
pending,Analysing Reachable and Unreachable Codes in App Inventor Programs for Supporting the Assessment of Computational Thinking Concepts.,Siu Cheung Kong; Chun Wing Poon; Bowen Liu 0015,2021,ICCE,,https://dblp.org/rec/conf/icce/KongPL21,,,"openalex, dblp",human,,human,
pending,"Progress in computational thinking, and expanding the HPC community.",Jeannette M. Wing; Dan Stanzione,2016,Commun. ACM,10.1145/2933410,https://dblp.org/rec/journals/cacm/WingS16,,,"openalex, dblp",human,,human,
pending,A Science Learning Environment using a Computational Thinking Approach.,Satabdi Basu; John S. Kinnebrew; Amanda Dickes; Amy Voss Farris; Pratim Sengupta; Jaymes Winger; Gautam Biswas,2012,ICCE,10.58459/ICCE.2012.914,https://dblp.org/rec/conf/icce/BasuKDFSWB12,,,"openalex, dblp",human,,human,
pending,Computational thinking.,Jeannette M. Wing,2011,VL/HCC,10.1109/VLHCC.2011.6070404,https://dblp.org/rec/conf/vl/Wing11,,,"openalex, dblp",human,,human,
pending,Computational thinking.,Jeannette M. Wing,2009,J. Comput. Sci. Coll.,10.5555/1529995.1529997,https://dblp.org/rec/journals/jcscoll/Wing09,,,"openalex, dblp",human,,human,
pending,Computational thinking.,Peter B. Henderson; Thomas J. Cortina; Jeannette M. Wing,2007,SIGCSE,10.1145/1227310.1227378,https://dblp.org/rec/conf/sigcse/HendersonCW07,,,"openalex, dblp",human,,human,
kept,Computational thinking.,Jeannette M. Wing,2006,Commun. ACM,10.1145/1118178.1118215,https://dblp.org/rec/journals/cacm/Wing06,CT-definition,,"openalex, dblp",human,,human,
